DataSetId,DataSetName,MeasureCode,MeasureName,ReportedMeasureCode,ReportedMeasureName,ReportingEndDate,ReportingStartDate
61,ED-TIME 2012-13 - Percentage of patients who depart the emergency department within four hours of arrival,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,MYH-RM0020,Semi-Urgent,2013-06-30,2012-07-01
62,ED-TIME 2012-13 - Percentage of patients who depart the emergency department within four hours of arrival,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,MYH-RM0021,Non-Urgent,2013-06-30,2012-07-01
63,ED-TIME 2012-13 - Percentage of patients who depart the emergency department within four hours of arrival,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,MYH-RM0014,Subsequently admitted patients,2013-06-30,2012-07-01
64,ED-TIME 2012-13 - Percentage of patients who depart the emergency department within four hours of arrival,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,MYH-RM0016,Not subsequently admitted patients,2013-06-30,2012-07-01
65,ED-TIME 2012-13 - Time until most patients (90%) departed the emergency department,MYH0013,Time until most patients (90%) departed the emergency department,MYH-RM0013,Subsequently admitted patients,2013-06-30,2012-07-01
66,ED-TIME 2012-13 - Number of patients presenting to the emergency department,MYH0012,Number of patients presenting to the emergency department,MYH-RM0022,Subsequently admitted patients,2013-06-30,2012-07-01
67,ED-TIME 2012-13 - Number of patients presenting to the emergency department,MYH0012,Number of patients presenting to the emergency department,MYH-RM0024,Not subsequently admitted patients,2013-06-30,2012-07-01
68,ED-TIME 2011-12 - Number of patients presenting to the emergency department,MYH0012,Number of patients presenting to the emergency department,MYH-RM0025,Resuscitation,2012-06-30,2011-07-01
69,ED-TIME 2011-12 - Number of patients presenting to the emergency department,MYH0012,Number of patients presenting to the emergency department,MYH-RM0026,Emergency,2012-06-30,2011-07-01
70,ED-TIME 2011-12 - Number of patients presenting to the emergency department,MYH0012,Number of patients presenting to the emergency department,MYH-RM0027,Urgent,2012-06-30,2011-07-01
71,ED-TIME 2011-12 - Number of patients presenting to the emergency department,MYH0012,Number of patients presenting to the emergency department,MYH-RM0028,Semi-Urgent,2012-06-30,2011-07-01
72,ED-TIME 2011-12 - Number of patients presenting to the emergency department,MYH0012,Number of patients presenting to the emergency department,MYH-RM0029,Non-Urgent,2012-06-30,2011-07-01
73,ED-TIME 2011-12 - Number of patients presenting to the emergency department,MYH0012,Number of patients presenting to the emergency department,MYH-RM0023,All patients,2012-06-30,2011-07-01
74,ED-WAITS 2011-12 - Number of patients presenting to the emergency department,MYH0011,Number of patients presenting to the emergency department,MYH-RM0030,Resuscitation,2012-06-30,2011-07-01
75,ED-WAITS 2011-12 - Number of patients presenting to the emergency department,MYH0011,Number of patients presenting to the emergency department,MYH-RM0031,Emergency,2012-06-30,2011-07-01
76,ED-WAITS 2011-12 - Number of patients presenting to the emergency department,MYH0011,Number of patients presenting to the emergency department,MYH-RM0032,Urgent,2012-06-30,2011-07-01
77,ED-WAITS 2011-12 - Number of patients presenting to the emergency department,MYH0011,Number of patients presenting to the emergency department,MYH-RM0033,Semi-Urgent,2012-06-30,2011-07-01
78,ED-WAITS 2011-12 - Number of patients presenting to the emergency department,MYH0011,Number of patients presenting to the emergency department,MYH-RM0034,Non-Urgent,2012-06-30,2011-07-01
79,ED-WAITS 2011-12 - Percentage of patients who commenced treatment within the recommended time,MYH0010,Percentage of patients who commenced treatment within the recommended time,MYH-RM0035,Resuscitation,2012-06-30,2011-07-01
80,ED-WAITS 2011-12 - Percentage of patients who commenced treatment within the recommended time,MYH0010,Percentage of patients who commenced treatment within the recommended time,MYH-RM0036,Emergency,2012-06-30,2011-07-01
81,ED-WAITS 2011-12 - Percentage of patients who commenced treatment within the recommended time,MYH0010,Percentage of patients who commenced treatment within the recommended time,MYH-RM0037,Urgent,2012-06-30,2011-07-01
82,ED-WAITS 2011-12 - Percentage of patients who commenced treatment within the recommended time,MYH0010,Percentage of patients who commenced treatment within the recommended time,MYH-RM0038,Semi-Urgent,2012-06-30,2011-07-01
83,ED-WAITS 2011-12 - Percentage of patients who commenced treatment within the recommended time,MYH0010,Percentage of patients who commenced treatment within the recommended time,MYH-RM0039,Non-Urgent,2012-06-30,2011-07-01
84,ED-TIME 2011-12 - Percentage of patients who depart the emergency department within four hours of arrival,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,MYH-RM0015,All patients,2012-06-30,2011-07-01
85,ED-TIME 2011-12 - Percentage of patients who depart the emergency department within four hours of arrival,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,MYH-RM0017,Resuscitation,2012-06-30,2011-07-01
86,ED-TIME 2011-12 - Percentage of patients who depart the emergency department within four hours of arrival,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,MYH-RM0018,Emergency,2012-06-30,2011-07-01
87,ED-TIME 2011-12 - Percentage of patients who depart the emergency department within four hours of arrival,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,MYH-RM0019,Urgent,2012-06-30,2011-07-01
88,ED-TIME 2011-12 - Percentage of patients who depart the emergency department within four hours of arrival,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,MYH-RM0020,Semi-Urgent,2012-06-30,2011-07-01
89,ED-TIME 2011-12 - Percentage of patients who depart the emergency department within four hours of arrival,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,MYH-RM0021,Non-Urgent,2012-06-30,2011-07-01
90,ED-TIME 2011-12 - Percentage of patients who depart the emergency department within four hours of arrival,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,MYH-RM0014,Subsequently admitted patients,2012-06-30,2011-07-01
91,ED-TIME 2011-12 - Percentage of patients who depart the emergency department within four hours of arrival,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,MYH-RM0016,Not subsequently admitted patients,2012-06-30,2011-07-01
92,ED-TIME 2011-12 - Time until most patients (90%) departed the emergency department,MYH0013,Time until most patients (90%) departed the emergency department,MYH-RM0013,Subsequently admitted patients,2012-06-30,2011-07-01
93,ED-TIME 2011-12 - Number of patients presenting to the emergency department,MYH0012,Number of patients presenting to the emergency department,MYH-RM0022,Subsequently admitted patients,2012-06-30,2011-07-01
94,ED-TIME 2011-12 - Number of patients presenting to the emergency department,MYH0012,Number of patients presenting to the emergency department,MYH-RM0024,Not subsequently admitted patients,2012-06-30,2011-07-01
250,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0050,Cardio-thoracic surgery,2012-06-30,2011-07-01
251,ES 2011-12 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0102,Cardio-thoracic surgery,2012-06-30,2011-07-01
252,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0052,"Ear, nose and throat surgery",2012-06-30,2011-07-01
253,ES 2011-12 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0104,"Ear, nose and throat surgery",2012-06-30,2011-07-01
254,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0059,General surgery,2012-06-30,2011-07-01
255,ES 2011-12 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0111,General surgery,2012-06-30,2011-07-01
256,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0063,Gynaecology,2012-06-30,2011-07-01
257,ES 2011-12 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0115,Gynaecology,2012-06-30,2011-07-01
258,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0065,Neurosurgery,2012-06-30,2011-07-01
259,ES 2011-12 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0117,Neurosurgery,2012-06-30,2011-07-01
260,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0057,Ophthalmology,2012-06-30,2011-07-01
261,ES 2011-12 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0109,Ophthalmology,2012-06-30,2011-07-01
262,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0066,Orthopaedic surgery,2012-06-30,2011-07-01
263,ES 2011-12 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0118,Orthopaedic surgery,2012-06-30,2011-07-01
264,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0070,Plastic surgery,2012-06-30,2011-07-01
265,ES 2011-12 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0122,Plastic surgery,2012-06-30,2011-07-01
266,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0071,Urology,2012-06-30,2011-07-01
267,ES 2011-12 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0123,Urology,2012-06-30,2011-07-01
268,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0074,Vascular surgery,2012-06-30,2011-07-01
269,ES 2011-12 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0126,Vascular surgery,2012-06-30,2011-07-01
270,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0069,Other surgery,2012-06-30,2011-07-01
271,ES 2011-12 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0121,Other surgery,2012-06-30,2011-07-01
272,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0058,Cataract extraction (with or without intra-ocular lens insertion),2012-06-30,2011-07-01
273,ES 2011-12 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0110,Cataract extraction (with or without intra-ocular lens insertion),2012-06-30,2011-07-01
274,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0060,Cholecystectomy (open/laparoscopic),2012-06-30,2011-07-01
275,ES 2011-12 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0112,Cholecystectomy (open/laparoscopic),2012-06-30,2011-07-01
276,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0051,Coronary artery bypass grafting,2012-06-30,2011-07-01
277,ES 2011-12 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0103,Coronary artery bypass grafting,2012-06-30,2011-07-01
278,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0072,Cystoscopy,2012-06-30,2011-07-01
279,ES 2011-12 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0124,Cystoscopy,2012-06-30,2011-07-01
280,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0061,Haemorrhoidectomy,2012-06-30,2011-07-01
281,ES 2011-12 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0113,Haemorrhoidectomy,2012-06-30,2011-07-01
282,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0064,Hysterectomy (abdominal/vaginal/laparoscopic),2012-06-30,2011-07-01
283,ES 2011-12 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0116,Hysterectomy (abdominal/vaginal/laparoscopic),2012-06-30,2011-07-01
284,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0062,Inguinal herniotomy/herniorrhaphy,2012-06-30,2011-07-01
285,ES 2011-12 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0114,Inguinal herniotomy/herniorrhaphy,2012-06-30,2011-07-01
286,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0053,Myringoplasty/tympanoplasty,2012-06-30,2011-07-01
287,ES 2011-12 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0105,Myringoplasty/tympanoplasty,2012-06-30,2011-07-01
288,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0054,Myringotomy,2012-06-30,2011-07-01
289,ES 2011-12 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0106,Myringotomy,2012-06-30,2011-07-01
290,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0073,Prostatectomy (transurethral or open),2012-06-30,2011-07-01
291,ES 2011-12 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0125,Prostatectomy (transurethral or open),2012-06-30,2011-07-01
292,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0055,Septoplasty,2012-06-30,2011-07-01
293,ES 2011-12 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0107,Septoplasty,2012-06-30,2011-07-01
294,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0056,Tonsillectomy (with or without adenoidectomy),2012-06-30,2011-07-01
295,ES 2011-12 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0108,Tonsillectomy (with or without adenoidectomy),2012-06-30,2011-07-01
296,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0067,Total hip replacement,2012-06-30,2011-07-01
297,ES 2011-12 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0119,Total hip replacement,2012-06-30,2011-07-01
298,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0068,Total knee replacement,2012-06-30,2011-07-01
299,ES 2011-12 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0120,Total knee replacement,2012-06-30,2011-07-01
300,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0075,Varicose veins treatment,2012-06-30,2011-07-01
301,ES 2011-12 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0127,Varicose veins treatment,2012-06-30,2011-07-01
302,ES 2011-12 - Percentage of patients who received their surgery within clinically recommended times,MYH0008,Percentage of patients who received their surgery within clinically recommended times,MYH-RM0047,Urgent elective surgery,2012-06-30,2011-07-01
303,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0040,Urgent elective surgery,2012-06-30,2011-07-01
304,ES 2011-12 - Percentage of patients who received their surgery within clinically recommended times,MYH0008,Percentage of patients who received their surgery within clinically recommended times,MYH-RM0048,Semi-urgent elective surgery,2012-06-30,2011-07-01
305,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0041,Semi-urgent elective surgery,2012-06-30,2011-07-01
306,ES 2011-12 - Percentage of patients who received their surgery within clinically recommended times,MYH0008,Percentage of patients who received their surgery within clinically recommended times,MYH-RM0049,Non-urgent elective surgery,2012-06-30,2011-07-01
307,ES 2011-12 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0042,Non-urgent elective surgery,2012-06-30,2011-07-01
308,ES 2012-13 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0050,Cardio-thoracic surgery,2013-06-30,2012-07-01
309,ES 2012-13 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0102,Cardio-thoracic surgery,2013-06-30,2012-07-01
310,ES 2012-13 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0052,"Ear, nose and throat surgery",2013-06-30,2012-07-01
311,ES 2012-13 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0104,"Ear, nose and throat surgery",2013-06-30,2012-07-01
312,ES 2012-13 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0059,General surgery,2013-06-30,2012-07-01
313,ES 2012-13 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0111,General surgery,2013-06-30,2012-07-01
314,ES 2012-13 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0063,Gynaecology,2013-06-30,2012-07-01
315,ES 2012-13 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0115,Gynaecology,2013-06-30,2012-07-01
316,ES 2012-13 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0065,Neurosurgery,2013-06-30,2012-07-01
317,ES 2012-13 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0117,Neurosurgery,2013-06-30,2012-07-01
318,ES 2012-13 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0057,Ophthalmology,2013-06-30,2012-07-01
319,ES 2012-13 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0109,Ophthalmology,2013-06-30,2012-07-01
320,ES 2012-13 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0066,Orthopaedic surgery,2013-06-30,2012-07-01
321,ES 2012-13 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0118,Orthopaedic surgery,2013-06-30,2012-07-01
322,ES 2012-13 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0070,Plastic surgery,2013-06-30,2012-07-01
323,ES 2012-13 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0122,Plastic surgery,2013-06-30,2012-07-01
324,ES 2012-13 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0071,Urology,2013-06-30,2012-07-01
325,ES 2012-13 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0123,Urology,2013-06-30,2012-07-01
326,ES 2012-13 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0074,Vascular surgery,2013-06-30,2012-07-01
327,ES 2012-13 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0126,Vascular surgery,2013-06-30,2012-07-01
328,ES 2012-13 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0069,Other surgery,2013-06-30,2012-07-01
329,ES 2012-13 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0121,Other surgery,2013-06-30,2012-07-01
330,ES 2012-13 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0058,Cataract extraction (with or without intra-ocular lens insertion),2013-06-30,2012-07-01
331,ES 2012-13 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0110,Cataract extraction (with or without intra-ocular lens insertion),2013-06-30,2012-07-01
332,ES 2012-13 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0060,Cholecystectomy (open/laparoscopic),2013-06-30,2012-07-01
333,ES 2012-13 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0112,Cholecystectomy (open/laparoscopic),2013-06-30,2012-07-01
334,ES 2012-13 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0051,Coronary artery bypass grafting,2013-06-30,2012-07-01
335,ES 2012-13 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0103,Coronary artery bypass grafting,2013-06-30,2012-07-01
336,ES 2012-13 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0072,Cystoscopy,2013-06-30,2012-07-01
337,ES 2012-13 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0124,Cystoscopy,2013-06-30,2012-07-01
338,ES 2012-13 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0061,Haemorrhoidectomy,2013-06-30,2012-07-01
339,ES 2012-13 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0113,Haemorrhoidectomy,2013-06-30,2012-07-01
